id,title,company_name,category,job_type,candidate_required_location,salary,publication_date,url,tags
2088615,Customer Care Representative,Associate Ophthalmologists,Customer Service,full_time,USA,$30-$35/hour,2026-01-29T19:21:14,https://remotive.com/remote-jobs/customer-service/customer-care-representative-2088615,"CRM, chat, microsoft office"
2088527,🇩🇪 EU Freelance Customer Advisor – Inbound Mobile / Prepaid,hey contact heroes GmbH,Customer Service,freelance,Europe,,2026-01-06T19:11:35,https://remotive.com/remote-jobs/customer-service/eu-freelance-customer-advisor-inbound-mobile-prepaid-2088527,
2087132,"Executive Assistant & Accountability Partner (Full‑Time, Remote, ET Hours)",,All others,full_time,Worldwide,,2026-01-10T23:00:36,https://remotive.com/remote-jobs/all-others/executive-assistant-accountability-partner-fulltime-remote-et-hours-2087132,"AI/ML, documentation, asana, executive assistant, SLA, travel"
1956455,iOS Developer,nooro,Software Development,full_time,USA,$60k-$130k (depending on experience),2026-01-09T21:15:43,https://remotive.com/remote-jobs/software-development/ios-developer-1956455,"api, backend, git, ios, security, swift, UI/UX, Figma, agile, healthcare, startup, core data, github, REST, MVVM, mobile development"
2086540,Inside Sales Contractor,"Credit Wellness, LLC",Sales / Business,full_time,Worldwide,OTE $25k - $35k,2026-02-08T22:01:13,https://remotive.com/remote-jobs/sales-business/inside-sales-contractor-2086540,"CRM, google sheets, financial services, Inside Sales"
2088624,Senior Python Backend Developer,SKYCATCHFIRE,Software Development,full_time,USA,$100k - $150k,2026-02-06T22:41:25,https://remotive.com/remote-jobs/software-development/senior-python-backend-developer-2088624,"api, backend, django, excel, python, react, AI/ML, automation, CRM, flask, business operations, ETL, next.js, software systems"
2088622,Content Reviewer,TELUS Digital,All others,part_time,USA,14$/hour,2026-02-06T16:14:35,https://remotive.com/remote-jobs/all-others/content-reviewer-2088622,"android, go, ios, social media, AI/ML, diversity"
1185979,Freelance Writer,IAPWE,Writing,freelance,Worldwide,$50-$75 /hour,2026-02-04T17:01:32,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,REST
2088618,AI Internet Rater,Welo Data,AI / ML,part_time,USA,$14.5/hour,2026-02-04T08:43:19,https://remotive.com/remote-jobs/ai-ml/ai-internet-rater-2088618,"AI/ML, project management, insurance"
1749306,Copywriter,Coalition Technologies ,Writing,freelance,Worldwide,$20k -$35k,2026-02-02T20:00:50,https://remotive.com/remote-jobs/writing/copywriter-1749306,"accounting, excel, research, data analysis, bookkeeping, google sheets, quickbooks, data entry, insurance, G Suite"
2082736,Senior Amazon Brand Manager,GNO Partners,Marketing,full_time,Worldwide,$220k-$300k OTE,2026-01-26T07:45:51,https://remotive.com/remote-jobs/marketing/senior-amazon-brand-manager-2082736,"amazon, backend, project management, PPC"
2088612,"Product, Platform & Enterprise Full Stack Sr/Staff Software Engineer",BNSF Railway,Software Development,full_time,USA,"$165,000 - $300,000",2026-01-24T14:35:10,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-full-stack-sr-staff-software-engineer-2088612,"api, AWS, azure, cloud, fullstack, git, kafka, node.js, react, security, sql, AI/ML, paas, agile, product engineering, automation, CI/CD, spring, NoSQL, distributed systems, angular , STEM, GCP, platform security, spring boot, Micro services, serverless, testing, computer science, infrastructure, grafana, travel, insurance, mental health"
2088611,"Product, Platform & Enterprise Front End Sr/Staff Software Engineer",BNSF Railway,Software Development,full_time,USA,$165k - $300k,2026-01-24T14:33:27,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-front-end-sr-staff-software-engineer-2088611,"api, AWS, azure, cloud, fullstack, git, kafka, node.js, react, security, sql, AI/ML, paas, agile, product engineering, automation, CI/CD, spring, NoSQL, distributed systems, angular , STEM, GCP, platform security, spring boot, Micro services, serverless, testing, computer science, infrastructure, grafana, travel, insurance, mental health"
2088613,Sr/Staff AI Engineer,BNSF Railway,AI / ML,full_time,USA,$165k - $300k,2026-01-23T21:23:08,https://remotive.com/remote-jobs/ai-ml/sr-staff-ai-engineer-2088613,"AWS, azure, cloud, data science, hadoop, java, python, sql, open source, AI/ML, automation, research, data analysis, deep learning, TensorFlow, NoSQL, spark, angular , STEM, ETL, data engineering, supply chain , IoT, R, computer science, infrastructure, travel, Pytorch, insurance, mental health"
2088608,Product Developer / Engineer @ Fun Ecom Co | Great People & Flexible Hours,JLS Trading Co,Product,full_time,Worldwide,,2026-01-20T21:33:20,https://remotive.com/remote-jobs/product/product-developer-engineer-fun-ecom-co-great-people-flexible-hours-2088608,"amazon, go, saas, CAD, PPC, supply chain , testing, Fusion, autocad, REST"
2070150,Senior DevOps Engineer,Marketerx,DevOps / Sysadmin,full_time,USA,$130k - $150k,2026-01-18T14:31:16,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2070150,"AWS, cloud, docker, kubernetes, security, SRE, AI/ML, CI/CD, terraform, startup, ansible, infrastructure"
2086826,Client Support Specialist,Clipboard Health,Customer Service,full_time,"Europe, Canada, South Africa, Philippines, Jamaica",,2026-01-16T14:01:26,https://remotive.com/remote-jobs/customer-service/client-support-specialist-2086826,"documentation, zendesk, account management, startup, Linux/Unix"
1919265,Senior Independent Software Developer,A.Team,Software Development,contract,"Americas, Europe, Israel",$90 - $150 /hour,2026-01-16T10:16:08,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,"go, wordpress, chat, apple, testing, catalyst"
1919266,Senior Independent AI Engineer / Architect,A.Team,Software Development,contract,"Americas, Europe, Israel",$120 - $170 /hour,2026-01-16T10:16:03,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,"go, UI/UX, wordpress, chat, apple, testing, catalyst"
2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Software Development,full_time,"USA, Canada, USA timezones",$170k - $200k,2026-01-14T20:46:36,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,"api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture"
2069747,Tech Lead Databricks Data Engineer,Mitre Media,Software Development,full_time,"USA, Canada, USA timezones",$160k - $180k,2026-01-14T20:46:28,https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,"apache, api, AWS, big data, cloud, java, python, scala, sql, AI/ML, documentation, CAD, CI/CD, analytics, advertising, spark, tableau, GCP, ETL, data engineering, SOLID, fintech, Micro services, backbone, github"
2069728,Software Engineer C++ (Senior),Apexver,Software Development,full_time,Worldwide,$180k + bonus up to 100%,2026-01-14T13:45:40,https://remotive.com/remote-jobs/software-development/software-engineer-c-senior-2069728,"C++, python, research, mentoring, hardware, distributed systems, trading, scripting, kernel, testing, infrastructure, GPU"
